a
Kunimi Akira
Sakusa Kiyoomi
Akiu Kazuteru
Ukai Keishin
Oikawa Tooru
Anahori Shuichi
Fukatani Kenro
Himekawa Aoi
Oyasu Soma
Akama So
Natsuse Ibuki
Ojiro Aran
Hirugami Fukuro
Ushijima Wakatoshi (Timeskip)
Sokolov Tatsuto
Bokuto Kotaro (Timeskip)
Aaron Murphy
Yamagata Hayato
Bobata Kazuma
Kai Ryosei
Kinoshita Hisashi
Hinata Shoyo
Kindaichi Yuutaro
Runa Kuribayashi
Hiroo Koji
Komi Haruki
Karamatsu Takumi
Unnan Keisuke
Iwamuro Togo
Towada Yoshiki
Suna Rintaro
Shibayama Yuki
Hondo Subaru
Nakashima Takeru
Kosaku Yuto
Misaki Hana
Akaashi Keiji
Kita Shinsuke
Usuri Michiru
Kai Nobuyuki
Kageyama Tobio (Timeskip)
Tokura Liam
Omimi Ren
Alexander Joffe
Miya Atsumu
Oikawa Tooru (Timeskip)
Shirofuku Yukie
Mami Nozomu
Moniwa Kaname
Hirugami Sachiro
Kiryu Wakatsu
Maruyama Kazuki
Shiroishi Yuki
Bishin Haruma
Kawanishi Taichi
Sawamura Daichi
Chaya Kazuma
Gora Masaki
Onagawa Taro
Matsushima Tsyuoshi
Yahaba Shigeru
Shiramine Itaru
Ginjima Hitoshi
Echigo Sakae
Nurukawa Yoshiaki
Komaki Yuzuru
Sarukui Yamato
Sasaya Takehito
Suzumeda Kaori
Hoshiumi Korai
Suwa Aikichi
Hyakuzawa Yudai
Ohira Reon
Miya Atsumu (Timeskip)
Kamasaki Yasushi
Akagi Michinari
Iizuna Tsukasa
Yokote Shun
Washio Tatsuki
Heiwajima Toshiro
Moritake Ayumu
Futamata Takeharu
Nishinoya Yuu
Watari Shinji
Inagaki Isao
Kaikake Akifumi
Ikejiri Hayato
Matsukawa Issei
Nozawa Izuru
Goshiki Tsutomu
Tsuchiyu Arata
Riseki Heisuke
Narita Kazuhito
Hanayama Kazumasa
Bessho Kazuyoshi
Semi Eita
Sugawara Koshi
Ezota Naoharu
Izaka Nobuyoshi
Kageyama Tobio
Atema Yoshitomo
Makado Eiji
Yachi Hitoka
Tsukishima Kei
Sakusa Kiyoomi (Timeskip)
Nicollas Romero
Miya Osamu
Michimiya Yui
Ennoshita Chikara
Miyanoshita Eri
Amanai Kanoka
Konoha Akinori
Inunaki Shion
Naruko Teppei
Meian Shugo
Haga Yoshiharu
Daisho Suguru
Kozume Kenma
Azumane Asahi
Higashiyama Katsumichi
Komori Motoya
Shiga Tomonari
Tendo Satori
Iwaizumi Hajime
Koganegawa Kanji
Takachiho Yoshiya
Akakura Kai
Takeda Ittetsu
Minamida Taishi
Oliver Barnes
Wakura Hisahiko
Nekomata Yasufumi
Wajima Tomokazu
Adriah Tomas
Hanamaki Takahiro
Futakuchi Kenji
Tanaka Ryunosuke
Fukiage Jingo
Sakishima Isumi
Teradomari Motoki
Kawatabi Shunki
Kanazawa Iori
Teshiro Tamahiko
Seguro Akihiko
Shibuya Rikuto
Kyotani Kentaro
Onaga Wataru
Shimizu Kiyoko
Maiko Yushi
Yamamoto Taketora
Numajiri Rintaro
Terushima Yuji
Yamashiro Soji
Inuoka So
Obara Yutaka
Sakunami Kosuke
Ushijima Wakatoshi
Chigaya Eikichi
Numai Kazuma
Kuguri Naoyasu
Aone Takanobu
Washijo Tanji
Sagae Yusho
Sakurai Taiga
Fukunaga Shohei
Kuroo Tetsuro
Tazawa Yuki
Tamagawa Hiroki
Shirabu Kenjiro
Hoshiumi Korai (Timeskip)
Yaku Morisuke
Komaki Hikaru
Hinata Shoyo (Timeskip)
Yamaguchi Tadashi
Hakuba Gao
Asamushi Kaito
Kanbayashi Keiichiro
